dataset,emotion_label,valence,arousal,dominance
IEMO,0,0.4928,0.4314,0.4576
IEMO,1,0.7378,0.5296,0.4810
IEMO,2,0.3133,0.3909,0.4570
IEMO,3,0.2264,0.6589,0.7375
MSPI,0,0.4864,0.7175,0.4642
MSPI,1,0.7633,0.5166,0.6030
MSPI,2,0.2481,0.6811,0.4392
MSPI,3,0.2453,0.4402,0.6387
MSPP,0,0.4895,0.4885,0.5267
MSPP,1,0.6369,0.6091,0.6089
MSPP,2,0.3567,0.3964,0.4427
MSPP,3,0.2475,0.7317,0.7516
OVERALL,0,0.4896,0.5458,0.4829
OVERALL,1,0.7127,0.5518,0.5643
OVERALL,2,0.3060,0.4895,0.4463
OVERALL,3,0.2397,0.6102,0.7093
